stusps,countyname,fips,fmr_1
AL,Autauga County,1001,913
AL,Baldwin County,1003,1056
AL,Barbour County,1005,656
AL,Bibb County,1007,1109
AL,Blount County,1009,1109
AL,Bullock County,1011,666
AL,Butler County,1013,760
AL,Calhoun County,1015,687
AL,Chambers County,1017,820
AL,Cherokee County,1019,726
AL,Chilton County,1021,690
AL,Choctaw County,1023,666
AL,Clarke County,1025,666
AL,Clay County,1027,700
AL,Cleburne County,1029,694
AL,Coffee County,1031,725
AL,Colbert County,1033,720
AL,Conecuh County,1035,666
AL,Coosa County,1037,683
AL,Covington County,1039,652
AL,Crenshaw County,1041,652
AL,Cullman County,1043,772
AL,Dale County,1045,754
AL,Dallas County,1047,694
AL,DeKalb County,1049,652
AL,Elmore County,1051,913
AL,Escambia County,1053,705
AL,Etowah County,1055,817
AL,Fayette County,1057,763
AL,Franklin County,1059,763
AL,Geneva County,1061,739
AL,Greene County,1063,741
AL,Hale County,1065,909
AL,Henry County,1067,652
AL,Houston County,1069,739
AL,Jackson County,1071,748
AL,Jefferson County,1073,1109
AL,Lamar County,1075,720
AL,Lauderdale County,1077,720
AL,Lawrence County,1079,763
AL,Lee County,1081,901
AL,Limestone County,1083,1067
AL,Lowndes County,1085,913
AL,Macon County,1087,683
AL,Madison County,1089,1067
AL,Marengo County,1091,763
AL,Marion County,1093,652
AL,Marshall County,1095,659
AL,Mobile County,1097,890
AL,Monroe County,1099,763
AL,Montgomery County,1101,913
AL,Morgan County,1103,763
AL,Perry County,1105,671
AL,Pickens County,1107,687
AL,Pike County,1109,839
AL,Randolph County,1111,763
AL,Russell County,1113,881
AL,St. Clair County,1115,1109
AL,Shelby County,1117,1109
AL,Sumter County,1119,792
AL,Talladega County,1121,693
AL,Tallapoosa County,1123,698
AL,Tuscaloosa County,1125,909
AL,Walker County,1127,652
AL,Washington County,1129,785
AL,Wilcox County,1131,808
AL,Winston County,1133,652
AK,Aleutians East Borough,2013,1210
AK,Aleutians West Census Area,2016,1515
AK,Anchorage Municipality,2020,1107
AK,Bethel Census Area,2050,1597
AK,Bristol Bay Borough,2060,949
AK,Chugach Census Area,2063,1077
AK,Copper River Census Area,2066,906
AK,Denali Borough,2068,1083
AK,Dillingham Census Area,2070,1142
AK,Fairbanks North Star Borough,2090,1253
AK,Haines Borough,2100,1128
AK,Hoonah-Angoon Census Area,2105,1018
AK,Juneau City and Borough,2110,1307
AK,Kenai Peninsula Borough,2122,990
AK,Ketchikan Gateway Borough,2130,1177
AK,Kodiak Island Borough,2150,1379
AK,Kusilvak Census Area,2158,694
AK,Lake and Peninsula Borough,2164,820
AK,Matanuska-Susitna Borough,2170,974
AK,Nome Census Area,2180,1258
AK,North Slope Borough,2185,1447
AK,Northwest Arctic Borough,2188,1434
AK,Petersburg Borough,2195,1099
AK,Prince of Wales-Hyder Census Area,2198,927
AK,Sitka City and Borough,2220,1221
AK,Skagway Municipality,2230,1174
AK,Southeast Fairbanks Census Area,2240,1083
AK,Wrangell City and Borough,2275,839
AK,Yakutat City and Borough,2282,997
AK,Yukon-Koyukuk Census Area,2290,955
AZ,Apache County,4001,804
AZ,Cochise County,4003,913
AZ,Coconino County,4005,1537
AZ,Gila County,4007,960
AZ,Graham County,4009,933
AZ,Greenlee County,4011,974
AZ,La Paz County,4012,900
AZ,Maricopa County,4013,1599
AZ,Mohave County,4015,935
AZ,Navajo County,4017,906
AZ,Pima County,4019,1018
AZ,Pinal County,4021,1599
AZ,Santa Cruz County,4023,778
AZ,Yavapai County,4025,1140
AZ,Yuma County,4027,962
AR,Arkansas County,5001,652
AR,Ashley County,5003,657
AR,Baxter County,5005,678
AR,Benton County,5007,924
AR,Boone County,5009,647
AR,Bradley County,5011,645
AR,Calhoun County,5013,696
AR,Carroll County,5015,657
AR,Chicot County,5017,620
AR,Clark County,5019,712
AR,Clay County,5021,620
AR,Cleburne County,5023,667
AR,Cleveland County,5025,690
AR,Columbia County,5027,620
AR,Conway County,5029,620
AR,Craighead County,5031,767
AR,Crawford County,5033,678
AR,Crittenden County,5035,1146
AR,Cross County,5037,620
AR,Dallas County,5039,620
AR,Desha County,5041,634
AR,Drew County,5043,673
AR,Faulkner County,5045,950
AR,Franklin County,5047,642
AR,Fulton County,5049,620
AR,Garland County,5051,775
AR,Grant County,5053,748
AR,Greene County,5055,737
AR,Hempstead County,5057,660
AR,Hot Spring County,5059,620
AR,Howard County,5061,626
AR,Independence County,5063,623
AR,Izard County,5065,683
AR,Jackson County,5067,620
AR,Jefferson County,5069,690
AR,Johnson County,5071,628
