zip,lat,lng,state_id,population,density,county_fips,county_name
00601,18.18027,-66.75266,PR,16834,100.9,72001,Adjuntas
00602,18.36075,-67.17541,PR,37642,479.2,72003,Aguada
00603,18.45744,-67.12225,PR,49075,551.7,72005,Aguadilla
00606,18.16585,-66.93716,PR,5590,48.7,72093,Maricao
00610,18.2911,-67.12243,PR,25542,265.7,72011,Añasco
00611,18.27698,-66.80688,PR,1315,47.7,72141,Utuado
00612,18.41283,-66.7051,PR,63312,321.1,72013,Arecibo
00616,18.41878,-66.6679,PR,9625,341.4,72013,Arecibo
00617,18.44598,-66.56006,PR,22573,474.8,72017,Barceloneta
00622,17.98892,-67.1566,PR,7577,93.9,72023,Cabo Rojo
00623,18.08429,-67.15336,PR,39406,388.1,72023,Cabo Rojo
00624,18.05905,-66.71932,PR,21648,178,72111,Peñuelas
00627,18.41905,-66.86037,PR,32733,272.6,72027,Camuy
00631,18.1852,-66.83169,PR,1431,176.8,72081,Lares
00636,18.16354,-67.08014,PR,1057,1112.8,72125,San Germán
00637,18.081,-66.94659,PR,22882,251.2,72121,Sabana Grande
00638,18.28462,-66.5137,PR,17605,95.2,72039,Ciales
00641,18.26742,-66.70212,PR,24299,111.5,72141,Utuado
00646,18.43251,-66.28429,PR,35926,658.9,72051,Dorado
00647,17.96667,-66.94266,PR,4702,114.8,72055,Guánica
00650,18.34487,-66.58347,PR,13767,167.6,72054,Florida
00652,18.45614,-66.60194,PR,3924,235.2,72013,Arecibo
00653,17.99413,-66.90266,PR,8980,157,72055,Guánica
00656,18.04186,-66.79123,PR,18121,166,72059,Guayanilla
00659,18.41036,-66.79691,PR,37066,348.6,72065,Hatillo
00660,18.13412,-67.11399,PR,15483,528.2,72067,Hormigueros
00662,18.46622,-67.01508,PR,40480,378.7,72071,Isabela
00664,18.21064,-66.59066,PR,14967,123.2,72073,Jayuya
00667,18.01246,-67.0417,PR,23370,149.9,72079,Lajas
00669,18.27019,-66.86727,PR,27529,165.8,72081,Lares
00670,18.23782,-66.98852,PR,8746,72.6,72083,Las Marías
00674,18.42229,-66.4891,PR,39385,350,72091,Manatí
00676,18.37897,-67.08098,PR,36683,289.9,72099,Moca
00677,18.33535,-67.23155,PR,15304,405.6,72117,Rincón
00678,18.42949,-66.93016,PR,25039,331.8,72115,Quebradillas
00680,18.16307,-67.36122,PR,43173,259.2,72097,Mayagüez
00682,18.22415,-67.15309,PR,30414,720,72097,Mayagüez
00683,18.10926,-67.03803,PR,29547,231.5,72125,San Germán
00685,18.33656,-66.97518,PR,40346,198,72131,San Sebastián
00687,18.31707,-66.42029,PR,28659,284.7,72101,Morovis
00688,18.3807,-66.62496,PR,11478,136.3,72013,Arecibo
00690,18.49363,-67.09734,PR,5781,987.2,72005,Aguadilla
00692,18.40905,-66.33768,PR,33302,484.7,72143,Vega Alta
00693,18.42633,-66.39811,PR,55570,483.1,72145,Vega Baja
00694,18.48327,-66.39269,PR,98,47.3,72145,Vega Baja
00698,18.07274,-66.85519,PR,33506,206.4,72153,Yauco
